epoch: 0	train ppl: 489.9022902999358	val ppl: 313.6966410372677	best val: 313.6966410372677	time (s) spent in epoch: 227.07751035690308
epoch: 1	train ppl: 226.27478926233277	val ppl: 223.57894162725455	best val: 223.57894162725455	time (s) spent in epoch: 226.99241709709167
epoch: 2	train ppl: 164.8707452982835	val ppl: 192.27967994862436	best val: 192.27967994862436	time (s) spent in epoch: 227.0517294406891
epoch: 3	train ppl: 133.2591752420992	val ppl: 176.42932584857036	best val: 176.42932584857036	time (s) spent in epoch: 226.89542293548584
epoch: 4	train ppl: 112.52042642272522	val ppl: 165.5345712960963	best val: 165.5345712960963	time (s) spent in epoch: 226.9516363143921
epoch: 5	train ppl: 97.31896888527749	val ppl: 159.6666824375307	best val: 159.6666824375307	time (s) spent in epoch: 227.01997566223145
epoch: 6	train ppl: 85.3189493171186	val ppl: 154.71448596769542	best val: 154.71448596769542	time (s) spent in epoch: 226.8587896823883
epoch: 7	train ppl: 75.61999791747249	val ppl: 152.80779416446705	best val: 152.80779416446705	time (s) spent in epoch: 226.97930073738098
epoch: 8	train ppl: 67.81327579586952	val ppl: 152.76996399047124	best val: 152.76996399047124	time (s) spent in epoch: 227.05383229255676
epoch: 9	train ppl: 61.026618206526706	val ppl: 154.13790179627256	best val: 152.76996399047124	time (s) spent in epoch: 227.34725379943848
epoch: 10	train ppl: 55.23005645662517	val ppl: 156.2330830138714	best val: 152.76996399047124	time (s) spent in epoch: 227.26060128211975
epoch: 11	train ppl: 50.13734259653632	val ppl: 159.07474305602662	best val: 152.76996399047124	time (s) spent in epoch: 227.30838298797607
epoch: 12	train ppl: 45.653713601405784	val ppl: 162.956631938596	best val: 152.76996399047124	time (s) spent in epoch: 227.28335404396057
epoch: 13	train ppl: 41.70065623092363	val ppl: 168.5633756928881	best val: 152.76996399047124	time (s) spent in epoch: 227.31188774108887
epoch: 14	train ppl: 38.160553414538974	val ppl: 174.39756591268514	best val: 152.76996399047124	time (s) spent in epoch: 227.2453727722168
epoch: 15	train ppl: 35.02632528169869	val ppl: 181.71401817974782	best val: 152.76996399047124	time (s) spent in epoch: 227.27653765678406
epoch: 16	train ppl: 32.194857716987784	val ppl: 188.76027621523917	best val: 152.76996399047124	time (s) spent in epoch: 227.46505451202393
epoch: 17	train ppl: 29.706583007018796	val ppl: 198.31311988718352	best val: 152.76996399047124	time (s) spent in epoch: 227.3135848045349
epoch: 18	train ppl: 27.40293713582443	val ppl: 207.46939928826234	best val: 152.76996399047124	time (s) spent in epoch: 227.32724523544312
epoch: 19	train ppl: 25.335925537317063	val ppl: 218.36364609290223	best val: 152.76996399047124	time (s) spent in epoch: 227.12776064872742
